feature,importance
is_large,0.28255075
cal_min,0.19404596
cal_mean,0.07282867
free_parking,0.06115245
area,0.04174927
dist_mean,0.034778245
trade_area_encoded,0.03240042
dist_std,0.028193977
is_budget,0.024689326
cal_n_days,0.020267496
smart_lock,0.015003753
ac,0.011174985
bedroom_count,0.010018153
latitude,0.008780859
dist_count,0.008684667
cal_median,0.008250064
dist_median,0.007977014
near_subway,0.007848631
longitude,0.0077154026
bed_count,0.007462476
district_encoded,0.0068184882
facility_count,0.005289478
hot_water,0.005242072
area_per_bedroom,0.005035178
free_water,0.004394048
favorite_count,0.0039914893
capacity,0.0039279936
cal_cv,0.003710127
elevator,0.0036346002
kitchen,0.0035381964
near_university,0.0034103957
style_modern,0.0029179244
heat_score,0.002707894
cal_range_ratio,0.0025027108
front_desk,0.0024839763
fridge,0.0024410533
cal_max,0.0024191013
instant_confirm,0.0023026753
style_chinese,0.002292847
rating,0.002267703
smart_toilet,0.0022081095
lake_view,0.0020753203
cal_weekend_premium,0.001994079
real_photo,0.001990118
near_ski,0.0019787108
sunroom,0.001968284
mountain_view,0.0018762057
washer,0.0017961717
garden,0.0017695446
mahjong,0.0017002091
karaoke,0.0016906552
cal_bookable_ratio,0.0016326435
pet_friendly,0.0015556151
oven,0.0015547249
view_bathtub,0.0015300474
business,0.0014009337
paid_parking,0.0013276878
near_station,0.0013089037
cal_std,0.0011782253
butler,0.0011689897
bathtub,0.0011285405
terrace,0.0011026021
projector,0.0010681698
style_ins,0.000970158
river_view,0.0008852482
big_projector,0.0008644615
dry_wet_sep,0.0008474452
luggage,0.0007558872
house_type_encoded,0.00052345666
style_western,0.0005181565
city_view,0.00046523655
family_friendly,0.00026493406
style_japanese,0.0
