feature,importance
cal_min,0.039571635
cal_median,0.020238914
has_calendar,0.01796813
cal_mean,0.016965684
log1p_cal_n_days,0.016859036
free_parking,0.016682837
area,0.016517723
sqrt_bedroom,0.015447849
is_large,0.015442272
rating_x_log_area,0.015391147
bed_count,0.015388844
area_x_house_type_enc,0.015289113
bedroom_count,0.015225453
log1p_area,0.014374472
cal_n_days,0.014290623
trade_area_encoded,0.013655485
river_view,0.013606168
capacity,0.013525996
is_budget,0.0133390725
elevator,0.012897033
mahjong,0.012660326
cal_max,0.012650909
latitude,0.012598981
family_friendly,0.012543449
dist_stability,0.012467798
cal_std,0.012399642
cal_range_ratio,0.012336912
business,0.012317525
bathtub,0.012298569
front_desk,0.01229585
instant_confirm,0.012241506
cal_weekend_premium,0.012131346
near_subway,0.012036772
lake_view,0.012032051
pet_friendly,0.01197743
dist_count,0.011824628
dist_mean,0.011796895
paid_parking,0.011774898
dist_median,0.011725185
area_per_bedroom,0.011713851
cal_cv,0.011688857
facility_count,0.011662716
smart_lock,0.011657743
cal_bookable_ratio,0.011652474
oven,0.011647185
house_type_encoded,0.011641772
karaoke,0.011617989
pic_count,0.011584224
sunroom,0.011582534
guest_density,0.011469375
near_ski,0.011446065
near_university,0.011428224
real_photo,0.011426099
longitude,0.011394376
free_water,0.011337415
heat_score,0.01129139
projector,0.011274739
near_station,0.01124813
favorite_count,0.0111616235
log1p_favorite,0.011075007
district_encoded,0.011066139
washer,0.010931326
dist_std,0.0109053105
style_ins,0.010838016
dry_wet_sep,0.010679446
terrace,0.010657594
smart_toilet,0.010647945
beds_per_room,0.010607384
rating,0.01058298
big_projector,0.010529438
kitchen,0.010403928
ac,0.01037149
luggage,0.010353962
style_modern,0.0100154495
fridge,0.010006232
butler,0.009883302
hot_water,0.009343082
mountain_view,0.008281494
style_western,0.008105484
style_chinese,0.0
view_bathtub,0.0
city_view,0.0
garden,0.0
style_japanese,0.0
