feature,importance
is_large,0.36202654
bedroom_count,0.13467932
area,0.057008762
free_parking,0.048921984
capacity,0.03313176
cal_min,0.027910559
ta_mean,0.026872775
ta_median,0.025009012
area_per_bedroom,0.020529822
trade_area_encoded,0.017956732
is_budget,0.01524573
dist_count,0.0145545285
bed_count,0.011859933
free_water,0.010291375
hot_water,0.01010222
ac,0.009758579
style_modern,0.0076146033
business,0.0066180667
real_photo,0.0062014777
ta_std,0.006159489
near_station,0.00583976
latitude,0.0057876604
dist_mean,0.0057533327
near_subway,0.0054922337
facility_count,0.0050452314
longitude,0.004572185
smart_lock,0.004019546
cal_mean,0.003974244
cal_cv,0.0037567064
dry_wet_sep,0.003651407
dist_std,0.0035104603
near_ski,0.0034832342
favorite_count,0.003439631
dist_median,0.0034067638
mountain_view,0.003285131
instant_confirm,0.0032822492
heat_score,0.0031249158
ta_count,0.00305885
washer,0.003039012
river_view,0.0030260852
rating,0.002986553
house_type_encoded,0.002974627
fridge,0.0029210325
district_encoded,0.0028704782
cal_n_days,0.002855577
elevator,0.002834757
sunroom,0.0026835576
smart_toilet,0.0026247557
near_university,0.0025600719
kitchen,0.0025122247
bathtub,0.0023892373
cal_median,0.0021132065
luggage,0.0020997976
cal_range_ratio,0.0020159269
city_view,0.0019630038
style_western,0.001932329
cal_weekend_premium,0.0018342069
paid_parking,0.0017723046
cal_bookable_ratio,0.0017517125
projector,0.0017109562
mahjong,0.0016453068
big_projector,0.0016188166
family_friendly,0.0015706924
terrace,0.0015508181
oven,0.0015028858
butler,0.0014768726
front_desk,0.0014165281
pet_friendly,0.0012960926
cal_std,0.0012844115
cal_max,0.0012733141
garden,0.0012377738
style_ins,0.00118505
karaoke,0.0011702848
lake_view,0.0008559629
style_chinese,0.0005069498
style_japanese,0.0
view_bathtub,0.0
